# cq_kd_peak (high-water mark during the call) and
# cq_divrem_region, measured against build-release/libcqops.a, last built 2026-09-21 23:59:04 (local mtime).
# Working tree at f2a8d64 (dirty) when the probe RAN — that SHA dates the RUN,
# not the ARCHIVE. Nothing records the commit the archive was built
# from, so compare the mtime above against that commit's date.
W mulpeak divpeak divregion
2 10 41 39
3 18 86 83
4 28 147 143
5 40 224 219
6 54 317 311
7 70 426 419
8 88 551 543
12 180 1211 1199
16 304 2127 2111
24 648 4727 4703
32 1120 8351 8319
