# Toffoli count vs W, FORWARD pass, ALL-QUANTUM mask.
# Pivoted from data/goldens.dat at 3464bf5 (dirty). nan = width not shipped.
W add addacc and ashr_k0 ashr_k1 ashr_k128 ashr_k16 ashr_k2 ashr_k32 ashr_k4 ashr_k40 ashr_k64 ashr_k8 ashr_k80 ashr_var eq lshr_k0 lshr_k1 lshr_k128 lshr_k16 lshr_k2 lshr_k32 lshr_k4 lshr_k40 lshr_k64 lshr_k8 lshr_k80 lshr_var mul mux ne or qload_L1 qload_L16 qload_L2 qload_L3 qload_L4 qload_L8 sdiv sext_f1 sext_f128 sext_f16 sext_f32 sext_f64 sext_f8 sext_f80 sge sgt shl_k0 shl_k1 shl_k128 shl_k16 shl_k2 shl_k32 shl_k4 shl_k40 shl_k64 shl_k8 shl_k80 shl_var sle slt srem sub trunc_f1 trunc_f128 trunc_f16 trunc_f32 trunc_f64 trunc_f8 trunc_f80 udiv uge ugt ule ult urem xor zext_f1 zext_f128 zext_f16 zext_f32 zext_f64 zext_f8 zext_f80
1 0 0 1 0 0 nan nan nan nan nan nan nan nan nan 0 0 0 0 nan nan nan nan nan nan nan nan nan 0 1 2 0 1 0 46 4 9 10 22 12 0 nan nan nan nan nan nan 4 4 0 0 nan nan nan nan nan nan nan nan nan 0 4 4 12 0 0 0 0 0 0 0 0 6 4 4 4 4 6 0 0 nan nan nan nan nan nan
2 4 1 2 0 0 nan nan 0 nan nan nan nan nan nan 4 2 0 0 nan nan 0 nan nan nan nan nan nan 4 10 4 2 2 nan nan nan nan nan nan 44 nan nan nan nan nan nan nan 8 8 0 0 nan nan 0 nan nan nan nan nan nan 4 8 8 44 4 nan nan nan nan nan nan nan 32 8 8 8 8 32 0 nan nan nan nan nan nan nan
3 nan 3 nan nan nan nan nan nan nan nan nan nan nan nan 12 nan nan nan nan nan nan nan nan nan nan nan nan 12 30 nan nan nan nan nan nan nan nan nan 96 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 12 nan nan 96 nan nan nan nan nan nan nan nan 78 nan nan nan nan 78 nan nan nan nan nan nan nan nan
4 12 5 4 0 0 nan nan 0 nan 0 nan nan nan nan 16 6 0 0 nan nan 0 nan 0 nan nan nan nan 16 60 8 6 4 nan nan nan nan nan nan 168 nan nan nan nan nan nan nan 16 16 0 0 nan nan 0 nan 0 nan nan nan nan 16 16 16 168 12 nan nan nan nan nan nan nan 144 16 16 16 16 144 0 nan nan nan nan nan nan nan
5 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 30 nan nan nan nan nan nan nan nan nan nan nan nan 30 100 nan nan nan nan nan nan nan nan nan 260 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 30 nan nan 260 nan nan nan nan nan nan nan nan 230 nan nan nan nan 230 nan nan nan nan nan nan nan nan
8 28 13 8 0 0 nan nan nan nan 0 nan nan 0 nan 48 14 0 0 nan nan nan nan 0 nan nan 0 nan 48 280 16 14 8 0 158 18 30 38 78 656 0 nan nan nan nan 0 nan 32 32 0 0 nan nan nan nan 0 nan nan 0 nan 48 32 32 656 28 nan 0 0 0 0 0 0 608 32 32 32 32 608 0 0 nan nan nan nan 0 nan
16 60 29 16 0 0 nan 0 nan nan nan nan nan 0 nan 128 30 0 0 nan 0 nan nan nan nan nan 0 nan 128 1200 32 30 16 0 286 34 54 70 142 2592 0 nan 0 nan nan 0 nan 64 64 0 0 nan 0 nan nan nan nan nan 0 nan 128 64 64 2592 60 nan 0 0 0 0 nan 0 2496 64 64 64 64 2496 0 0 nan 0 nan nan 0 nan
32 124 61 32 0 0 nan 0 nan 0 nan nan nan nan nan 320 62 0 0 nan 0 nan 0 nan nan nan nan nan 320 4960 64 62 32 0 542 66 102 134 270 10304 0 nan 0 0 nan 0 nan 128 128 0 0 nan 0 nan 0 nan nan nan nan nan 320 128 128 10304 124 nan 0 nan 0 0 nan 0 10112 128 128 128 128 10112 0 0 nan 0 0 nan 0 nan
64 252 125 64 0 0 nan nan nan 0 nan nan 0 nan nan 768 126 0 0 nan nan nan 0 nan nan 0 nan nan 768 20160 128 126 64 0 1054 130 198 262 526 41088 0 nan 0 0 0 0 nan 256 256 0 0 nan nan nan 0 nan nan 0 nan nan 768 256 256 41088 252 nan 0 nan nan 0 nan 0 40704 256 256 256 256 40704 0 0 nan 0 0 0 0 nan
80 nan nan nan 0 0 nan nan nan nan nan 0 nan nan 0 nan 158 0 0 nan nan nan nan nan 0 nan nan 0 1120 nan nan 158 nan 0 1310 162 246 326 654 nan 0 nan 0 0 0 0 0 320 320 0 0 nan nan nan nan nan 0 nan nan 0 1120 320 320 nan nan nan 0 nan nan nan nan 0 nan 320 320 320 320 nan nan 0 nan 0 0 0 0 0
128 508 253 nan 0 0 0 nan nan nan nan nan 0 nan nan 1792 nan 0 0 0 nan nan nan nan nan 0 nan nan 1792 81280 256 nan nan nan nan nan nan nan nan 164096 0 0 0 0 0 0 0 nan nan 0 0 0 nan nan nan nan nan 0 nan nan 1792 nan nan 164096 508 nan 0 nan nan nan nan nan 163328 nan nan nan nan 163328 nan 0 0 0 0 0 0 0
